Term,LoanStatus,BorrowerAPR,ProsperScore,ListingCategory,EmploymentStatus,IsBorrowerHomeowner,IncomeRange,StatedMonthlyIncome,LoanOriginalAmount,MonthlyLoanPayment,Investors
36,Completed,0.22491,8,Other,Full-time,False,"$50,000-74,999",5833.333333,1500,55.75,101
36,Irrecoverable,0.35244,1,Other,Full-time,True,"$25,000-49,999",3116.666667,2000,86.26,33
36,Completed,0.06337,10,Other,Full-time,True,"$50,000-74,999",4166.666667,1000,30.42,95
60,Completed,0.15936,9,Business,Employed,True,"$50,000-74,999",6000.0,23000,530.89,118
60,Irrecoverable,0.27462,7,Debt Consolidation,Not employed,False,$0,0.0,4000,117.15,7
60,Completed,0.35838,6,Auto & Other Vehicles,Employed,False,"$50,000-74,999",4416.666667,4000,136.98,46
36,Completed,0.12782,8,Home Improvement,Employed,True,"$50,000-74,999",4583.333333,8500,274.23,145
60,Irrecoverable,0.27246,6,Business,Self-employed,True,"$25,000-49,999",2333.333333,7000,204.15,21
60,Completed,0.27462,7,Auto & Other Vehicles,Employed,False,"$25,000-49,999",2416.666667,4500,131.79,66
60,Completed,0.23718,8,Debt Consolidation,Employed,True,"$100,000+",8625.0,25000,679.71,31
36,Completed,0.28574,7,Debt Consolidation,Full-time,False,"$25,000-49,999",3333.333333,4000,161.7,147
36,Completed,0.37733,4,Debt Consolidation,Full-time,False,"$25,000-49,999",2750.0,1500,67.85,27
36,Irrecoverable,0.37453,1,Business,Full-time,True,"$25,000-49,999",3833.333333,1700,76.9,30
12,Completed,0.06589,10,Home Improvement,Employed,True,"$100,000+",9000.0,8000,687.25,41
36,Completed,0.2026,8,Debt Consolidation,Full-time,True,"$100,000+",10083.333333,5000,180.89,134
36,Completed,0.15833,8,Debt Consolidation,Employed,True,"$100,000+",12916.666667,18500,623.25,271
36,Completed,0.13068,9,Auto & Other Vehicles,Employed,False,"$100,000+",9583.333333,5500,0.0,122
36,Completed,0.26681,4,Medical/Dental,Employed,False,"$50,000-74,999",4291.666667,2000,77.28,8
60,Completed,0.27462,6,Home Improvement,Employed,True,"$100,000+",21666.666667,13000,380.73,40
60,Irrecoverable,0.20358,8,Debt Consolidation,Employed,False,"$25,000-49,999",3166.666667,15000,384.58,13
36,Completed,0.28974,5,Other,Employed,True,"$25,000-49,999",4000.0,6000,238.91,111
36,Completed,0.34887,3,Debt Consolidation,Employed,True,"$50,000-74,999",5041.666667,4000,172.56,2
60,Completed,0.16151,8,Other,Other,True,"$25,000-49,999",2684.0,10000,231.91,21
36,Completed,0.06828,10,Auto & Other Vehicles,Employed,True,"$50,000-74,999",4250.0,6900,211.45,73
60,Completed,0.27462,6,Debt Consolidation,Employed,False,"$100,000+",9833.333333,10000,292.87,4
36,Completed,0.37453,5,Debt Consolidation,Full-time,True,"$25,000-49,999",3083.333333,4000,180.94,47
36,Completed,0.35797,5,Home Improvement,Employed,True,"$75,000-99,999",6833.333333,4000,173.71,42
36,Completed,0.34168,8,Other,Full-time,False,"$25,000-49,999",2325.833333,1000,42.53,24
36,Completed,0.26282,7,Debt Consolidation,Full-time,False,"$25,000-49,999",2416.666667,4800,188.29,204
36,Completed,0.13138,7,Debt Consolidation,Employed,True,"$100,000+",9583.333333,11974,388.28,187
60,Irrecoverable,0.11319,10,Home Improvement,Employed,True,"$75,000-99,999",7583.333333,21000,457.64,332
36,Irrecoverable,0.17359,7,Business,Self-employed,False,"$25,000-49,999",3033.333333,7500,258.12,128
12,Completed,0.20857,8,Auto & Other Vehicles,Employed,False,"$50,000-74,999",4166.666667,2500,225.63,34
36,Completed,0.36646,1,Debt Consolidation,Self-employed,True,"$50,000-74,999",5166.666667,1800,79.37,51
60,Completed,0.20705,6,Home Improvement,Employed,True,"$75,000-99,999",7500.0,15000,383.35,185
60,Irrecoverable,0.23318,8,Debt Consolidation,Employed,True,"$75,000-99,999",7083.333333,8000,215.75,159
36,Completed,0.2951,6,Other,Employed,True,"$50,000-74,999",4583.333333,4000,161.14,62
36,Irrecoverable,0.35797,1,Other,Other,True,"$50,000-74,999",5556.416667,4000,173.71,33
36,Irrecoverable,0.35643,3,Home Improvement,Employed,True,"$25,000-49,999",2916.666667,4000,174.2,48
60,Irrecoverable,0.23318,8,Household Expenses,Employed,False,"$25,000-49,999",3000.0,8000,215.75,138
60,Irrecoverable,0.27246,7,Auto & Other Vehicles,Employed,False,"$25,000-49,999",3166.666667,5000,145.82,103
36,Completed,0.29537,3,Debt Consolidation,Employed,False,"$25,000-49,999",3583.333333,10000,401.1,177
36,Irrecoverable,0.35797,3,Debt Consolidation,Employed,True,"$75,000-99,999",7600.0,4000,173.71,25
60,Completed,0.31375,6,Debt Consolidation,Employed,True,"$100,000+",11666.666667,12500,394.49,9
36,Irrecoverable,0.22362,6,Debt Consolidation,Self-employed,False,"$50,000-74,999",4916.666667,15000,549.76,279
36,Completed,0.35797,5,Business,Self-employed,False,"$75,000-99,999",6833.333333,4000,173.71,48
36,Irrecoverable,0.30532,8,Other,Employed,False,"$75,000-99,999",6333.333333,4000,163.28,59
36,Irrecoverable,0.38723,4,Other,Not employed,False,$0,0.0,2000,90.47,17
60,Completed,0.15783,6,Home Improvement,Employed,False,"$50,000-74,999",5468.666667,12000,276.06,212
36,Irrecoverable,0.19196,9,Debt Consolidation,Full-time,True,"$100,000+",12333.333333,5000,178.26,84
36,Completed,0.05525,10,Other,Full-time,False,"$50,000-74,999",4166.666667,1000,30.06,97
36,Completed,0.08641,8,Business,Full-time,True,"$75,000-99,999",6250.0,5000,157.37,195
36,Completed,0.19108,8,Auto & Other Vehicles,Employed,False,"$1-24,999",1083.333333,5000,176.3,97
36,Completed,0.2951,6,Home Improvement,Employed,True,"$25,000-49,999",3583.333333,4000,161.14,47
36,Completed,0.15549,8,Debt Consolidation,Full-time,True,"$75,000-99,999",6500.0,3900,132.16,157
36,Completed,0.10375,8,Business,Employed,False,"$25,000-49,999",2500.0,3500,110.15,13
36,Completed,0.22135,9,Other,Full-time,False,"$50,000-74,999",4583.333333,4000,148.45,128
36,Completed,0.35132,4,Debt Consolidation,Retired,False,"$1-24,999",799.5,6000,259.63,6
36,Completed,0.17322,8,Other,Full-time,False,"$25,000-49,999",2416.666667,5500,191.06,132
36,Irrecoverable,0.35244,2,Business,Self-employed,False,"$25,000-49,999",2090.833333,7500,324.99,46
36,Completed,0.12427,8,Debt Consolidation,Retired,True,"$1-24,999",1566.666667,2000,64.2,32
36,Completed,0.35643,5,Home Improvement,Employed,False,"$1-24,999",1208.333333,5146,224.12,59
36,Completed,0.17359,8,Debt Consolidation,Employed,True,"$50,000-74,999",4833.333333,9000,309.74,156
36,Completed,0.29775,7,Business,Full-time,True,"$75,000-99,999",6598.5,2400,97.02,50
36,Completed,0.35797,3,Home Improvement,Employed,False,"$100,000+",20833.333333,3500,151.99,10
36,Completed,0.17069,8,Debt Consolidation,Employed,False,"$75,000-99,999",7916.666667,15000,519.25,385
12,Completed,0.21649,4,Debt Consolidation,Employed,False,"$25,000-49,999",3083.333333,2000,0.0,39
36,Completed,0.18751,7,Debt Consolidation,Employed,True,"$100,000+",8333.333333,3100,109.85,7
36,Completed,0.37443,5,Home Improvement,Full-time,True,"$75,000-99,999",7250.0,4500,0.0,2
36,Completed,0.32538,2,Debt Consolidation,Employed,False,"$25,000-49,999",3433.333333,4000,166.73,3
36,Completed,0.34998,2,Debt Consolidation,Employed,True,"$75,000-99,999",7166.666667,2500,107.49,4
36,Completed,0.17359,9,Auto & Other Vehicles,Employed,False,"$50,000-74,999",4333.333333,3000,103.25,64
36,Completed,0.33553,8,Home Improvement,Employed,True,"$100,000+",8750.0,2000,84.44,6
12,Completed,0.18192,5,Other,Employed,False,"$50,000-74,999",4166.666667,2000,175.74,11
60,Irrecoverable,0.30933,1,Business,Self-employed,False,"$100,000+",16666.666667,15000,469.48,230
36,Irrecoverable,0.25781,6,Other,Employed,True,"$25,000-49,999",3750.0,2000,76.37,44
60,Irrecoverable,0.27462,7,Other,Employed,False,"$50,000-74,999",5000.0,15000,439.3,136
36,Irrecoverable,0.25781,6,Debt Consolidation,Employed,False,"$50,000-74,999",5000.0,10000,381.85,101
36,Completed,0.32576,4,Business,Full-time,True,"$75,000-99,999",8166.666667,7500,314.25,55
36,Completed,0.25424,6,Debt Consolidation,Employed,False,"$25,000-49,999",3666.666667,7000,267.3,117
36,Completed,0.34731,2,Business,Retired,False,"$50,000-74,999",5000.0,6000,257.11,74
36,Completed,0.08331,10,Business,Employed,True,"$100,000+",12500.0,8000,250.65,57
36,Irrecoverable,0.35797,4,Business,Self-employed,False,"$1-24,999",1916.666667,2000,86.85,36
36,Completed,0.21172,7,Home Improvement,Full-time,False,"$25,000-49,999",3500.0,2000,73.26,98
60,Completed,0.11219,10,Debt Consolidation,Employed,True,"$100,000+",11243.083333,24400,530.52,371
36,Irrecoverable,0.29254,4,Auto & Other Vehicles,Full-time,True,"$100,000+",8333.333333,10000,401.52,37
36,Completed,0.39153,4,Other,Full-time,False,"$25,000-49,999",2912.0,1000,45.24,19
36,Completed,0.13119,8,Other,Employed,True,"$100,000+",8750.0,4500,147.32,198
36,Completed,0.14328,8,Debt Consolidation,Employed,True,"$25,000-49,999",3750.0,6000,197.88,120
36,Irrecoverable,0.35132,4,Other,Self-employed,False,"$1-24,999",708.333333,5680,245.79,47
36,Completed,0.18173,9,Debt Consolidation,Employed,False,"$50,000-74,999",5000.0,3000,105.46,61
36,Completed,0.16808,9,Other,Full-time,True,"$75,000-99,999",7083.333333,1500,51.56,100
36,Completed,0.19236,3,Medical/Dental,Employed,True,"$100,000+",11450.0,9000,314.59,46
12,Completed,0.13972,9,Home Improvement,Employed,True,"$50,000-74,999",5291.666667,3500,304.78,57
36,Irrecoverable,0.33738,8,Debt Consolidation,Full-time,False,"$25,000-49,999",2666.666667,5000,215.94,47
60,Completed,0.24252,7,Debt Consolidation,Employed,True,"$75,000-99,999",7616.666667,13000,358.97,257
36,Irrecoverable,0.09736,9,Debt Consolidation,Other,False,"$25,000-49,999",2750.0,10500,330.92,50
36,Completed,0.35643,5,Home Improvement,Employed,True,"$50,000-74,999",5916.666667,5546,241.54,74
36,Completed,0.11296,9,Other,Retired,False,"$25,000-49,999",2208.333333,2000,63.79,35
36,Completed,0.30951,7,Other,Part-time,True,"$25,000-49,999",2333.333333,1000,0.0,16
36,Completed,0.124,9,Debt Consolidation,Full-time,True,"$50,000-74,999",5500.0,8000,259.23,143
60,Completed,0.13942,7,Debt Consolidation,Employed,True,"$100,000+",20833.333333,18000,397.59,344
36,Completed,0.35643,2,Debt Consolidation,Employed,True,"$75,000-99,999",7916.666667,2500,108.87,4
36,Completed,0.35797,4,Debt Consolidation,Employed,True,"$100,000+",9083.333333,4000,173.71,13
36,Completed,0.10993,9,Other,Employed,False,"$50,000-74,999",5468.0,10000,317.53,108
36,Completed,0.25278,7,Other,Full-time,False,"$25,000-49,999",2750.0,2000,77.42,114
36,Irrecoverable,0.23402,9,Debt Consolidation,Full-time,True,"$25,000-49,999",3500.0,2000,75.5,38
36,Completed,0.28851,5,Home Improvement,Employed,True,"$100,000+",9583.333333,7000,278.28,78
12,Completed,0.09986,8,Debt Consolidation,Employed,True,"$50,000-74,999",4333.333333,4000,344.78,82
60,Irrecoverable,0.35838,3,Medical/Dental,Employed,False,"$50,000-74,999",4500.0,4000,136.98,49
36,Completed,0.18183,9,Home Improvement,Full-time,True,"$25,000-49,999",4041.666667,2000,70.31,189
36,Completed,0.20462,5,Debt Consolidation,Employed,False,"$50,000-74,999",4166.666667,4000,142.19,1
36,Irrecoverable,0.25278,8,Home Improvement,Full-time,False,"$50,000-74,999",4166.666667,4000,154.84,244
36,Completed,0.38723,6,Home Improvement,Employed,False,"$25,000-49,999",3166.666667,3500,158.33,91
36,Completed,0.13645,6,Home Improvement,Full-time,True,"$100,000+",10833.333333,15000,494.78,147
36,Completed,0.22784,10,Home Improvement,Full-time,True,"$75,000-99,999",7650.0,1300,48.25,40
36,Completed,0.12258,9,Other,Employed,True,"$25,000-49,999",2872.083333,3600,116.42,180
36,Completed,0.1336,8,Auto & Other Vehicles,Full-time,True,"$25,000-49,999",3250.0,1500,49.11,79
36,Completed,0.10375,8,Auto & Other Vehicles,Full-time,False,"$25,000-49,999",2944.0,6000,188.82,70
36,Completed,0.35797,5,Debt Consolidation,Employed,False,"$50,000-74,999",4583.333333,3500,151.99,2
36,Completed,0.27119,6,Other,Employed,True,"$50,000-74,999",4416.666667,10000,390.49,244
36,Irrecoverable,0.35797,3,Other,Employed,False,"$1-24,999",1586.0,2000,86.85,9
36,Irrecoverable,0.35643,2,Debt Consolidation,Employed,True,"$25,000-49,999",2750.0,4000,174.2,58
36,Completed,0.34621,5,Debt Consolidation,Full-time,False,"$25,000-49,999",3500.0,7500,322.47,43
60,Completed,0.31344,5,Home Improvement,Employed,True,"$100,000+",10833.333333,15000,473.12,133
12,Completed,0.35843,4,Other,Employed,False,"$50,000-74,999",5000.0,2500,239.67,55
60,Irrecoverable,0.17982,7,Other,Self-employed,False,"$50,000-74,999",5208.333333,15000,361.91,266
36,Completed,0.29588,6,Other,Full-time,True,"$25,000-49,999",2833.333333,5500,225.28,112
36,Completed,0.26681,5,Other,Employed,False,"$50,000-74,999",4466.666667,10000,386.42,7
60,Completed,0.15629,8,Business,Full-time,False,"$50,000-74,999",5000.0,2000,45.86,29
36,Completed,0.21372,8,Debt Consolidation,Employed,False,"$50,000-74,999",4500.0,5500,197.96,92
36,Completed,0.12461,9,Debt Consolidation,Full-time,False,"$50,000-74,999",4833.333333,7499,243.21,419
36,Completed,0.35797,4,Other,Employed,True,"$50,000-74,999",6008.5,4000,173.71,75
12,Completed,0.31368,8,Home Improvement,Employed,True,"$75,000-99,999",6250.0,2000,0.0,20
36,Completed,0.34887,4,Debt Consolidation,Employed,True,"$25,000-49,999",2500.0,4000,172.56,50
60,Completed,0.23477,8,Business,Employed,True,"$50,000-74,999",5250.0,15000,410.12,1
60,Completed,0.09826,10,Debt Consolidation,Employed,False,"$25,000-49,999",2750.0,8000,168.45,168
36,Irrecoverable,0.30285,3,Debt Consolidation,Other,False,"$25,000-49,999",3583.333333,4000,161.99,72
36,Completed,0.23682,9,Other,Full-time,False,"$75,000-99,999",6250.0,1000,37.11,35
36,Completed,0.20321,8,Debt Consolidation,Full-time,True,"$100,000+",13083.333333,13800,491.94,205
36,Irrecoverable,0.30532,5,Debt Consolidation,Not employed,True,$0,0.0,5000,204.1,7
36,Completed,0.35643,5,Debt Consolidation,Employed,True,"$25,000-49,999",2916.666667,7500,326.62,13
60,Completed,0.20808,4,Debt Consolidation,Employed,True,"$25,000-49,999",2916.666667,10000,256.12,1
36,Completed,0.2021,9,Home Improvement,Full-time,False,"$50,000-74,999",5000.0,2500,90.38,85
36,Completed,0.24758,7,Other,Employed,False,"$25,000-49,999",3333.333333,4000,150.68,13
60,Completed,0.29998,6,Other,Employed,True,"$100,000+",15833.333333,4000,123.0,53
36,Completed,0.29842,7,Debt Consolidation,Full-time,True,"$75,000-99,999",7500.0,3000,123.28,112
12,Completed,0.34105,6,Debt Consolidation,Employed,True,"$100,000+",8476.916667,5000,475.2,21
60,Completed,0.25451,4,Home Improvement,Employed,True,"$50,000-74,999",5666.666667,14000,394.1,47
36,Completed,0.21372,8,Debt Consolidation,Employed,False,"$25,000-49,999",3500.0,14000,503.89,122
36,Completed,0.08341,10,Other,Full-time,True,"$25,000-49,999",4000.0,1500,47.0,29
36,Completed,0.16056,10,Other,Employed,False,"$50,000-74,999",5000.0,2000,68.26,37
36,Completed,0.3509,5,Debt Consolidation,Employed,True,"$25,000-49,999",3583.333333,7500,322.84,2
36,Irrecoverable,0.35858,6,Debt Consolidation,Employed,True,"$75,000-99,999",6458.333333,7000,305.66,124
36,Completed,0.35797,4,Other,Employed,True,"$75,000-99,999",6666.666667,4000,173.71,5
36,Completed,0.35797,5,Debt Consolidation,Employed,False,"$50,000-74,999",5083.333333,4000,173.71,7
36,Completed,0.35797,3,Auto & Other Vehicles,Employed,False,"$1-24,999",816.666667,3000,130.28,6
36,Completed,0.1322,8,Home Improvement,Full-time,True,"$100,000+",13750.0,25000,819.65,128
36,Completed,0.27467,5,Debt Consolidation,Full-time,True,"$100,000+",10000.0,10000,392.28,23
36,Completed,0.3179,2,Business,Employed,True,"$25,000-49,999",3916.666667,4000,165.15,1
36,Completed,0.07439,10,Business,Full-time,False,"$100,000+",11625.0,5100,157.71,174
36,Completed,0.33973,1,Other,Self-employed,True,"$100,000+",10000.0,4000,169.78,18
36,Completed,0.35643,4,Debt Consolidation,Employed,False,"$1-24,999",2055.75,7500,326.62,54
36,Irrecoverable,0.33973,1,Debt Consolidation,Employed,True,"$1-24,999",1458.333333,4000,169.78,54
36,Completed,0.34045,2,Other,Employed,False,"$25,000-49,999",4000.0,4000,169.94,1
36,Completed,0.29265,7,Debt Consolidation,Full-time,True,"$75,000-99,999",6250.0,7500,301.18,183
36,Completed,0.35285,3,Auto & Other Vehicles,Employed,False,"$50,000-74,999",4500.0,4000,172.6,6
36,Irrecoverable,0.35797,5,Debt Consolidation,Employed,False,"$50,000-74,999",4311.666667,4000,173.71,53
36,Completed,0.33711,4,Debt Consolidation,Full-time,False,"$25,000-49,999",3500.0,1700,72.26,84
36,Completed,0.2951,7,Debt Consolidation,Employed,True,"$75,000-99,999",7500.0,2000,80.57,21
36,Completed,0.31971,10,Other,Employed,True,"$50,000-74,999",5000.0,1336,54.9,35
12,Completed,0.17493,8,Debt Consolidation,Employed,True,"$100,000+",10333.333333,25000,2218.53,388
36,Completed,0.15833,8,Debt Consolidation,Employed,False,"$25,000-49,999",3833.333333,2000,67.38,19
12,Completed,0.28918,6,Debt Consolidation,Employed,False,"$25,000-49,999",3333.333333,4000,368.63,32
36,Completed,0.12461,9,Debt Consolidation,Full-time,False,"$50,000-74,999",4916.666667,3400,110.27,171
36,Completed,0.23939,7,Debt Consolidation,Employed,False,"$75,000-99,999",6875.0,9000,335.34,101
36,Completed,0.34588,2,Debt Consolidation,Employed,False,"$25,000-49,999",2983.333333,4000,171.1,1
36,Irrecoverable,0.29588,7,Home Improvement,Full-time,False,"$50,000-74,999",5416.666667,7500,307.2,187
36,Irrecoverable,0.16147,8,Home Improvement,Employed,True,"$25,000-49,999",2083.333333,10000,341.73,84
36,Completed,0.22362,5,Debt Consolidation,Employed,False,"$25,000-49,999",3600.0,6000,219.91,80
36,Completed,0.2951,6,Other,Employed,True,"$100,000+",12500.0,10000,402.85,156
36,Irrecoverable,0.202,8,Business,Other,False,"$1-24,999",2038.0,10000,361.47,87
36,Completed,0.15833,6,Debt Consolidation,Employed,False,"$25,000-49,999",2833.333333,10000,336.89,1
36,Completed,0.18295,8,Other,Full-time,True,"$75,000-99,999",6448.0,2500,88.03,104
36,Completed,0.38058,6,Debt Consolidation,Employed,True,"$25,000-49,999",3166.666667,3500,157.04,101
36,Completed,0.18183,8,Other,Full-time,False,"$50,000-74,999",4666.666667,7000,246.1,111
36,Completed,0.24758,7,Debt Consolidation,Employed,False,"$50,000-74,999",5666.666667,6000,226.02,108
36,Irrecoverable,0.19243,9,Home Improvement,Full-time,True,"$100,000+",11625.0,1000,34.94,75
36,Irrecoverable,0.30532,6,Business,Employed,True,"$25,000-49,999",3166.666667,8000,326.56,73
36,Completed,0.12782,8,Debt Consolidation,Employed,True,"$75,000-99,999",6250.0,5000,161.31,20
36,Completed,0.34621,3,Debt Consolidation,Employed,True,"$50,000-74,999",4166.666667,7000,300.97,55
36,Completed,0.35132,1,Debt Consolidation,Employed,True,"$100,000+",9333.333333,7000,302.9,132
36,Completed,0.35244,1,Debt Consolidation,Employed,False,"$50,000-74,999",5000.0,5000,216.66,9
36,Completed,0.25259,6,Debt Consolidation,Employed,True,"$75,000-99,999",7250.0,3500,132.73,75
36,Completed,0.2951,6,Other,Employed,False,"$1-24,999",1000.0,5000,201.43,48
36,Completed,0.17601,7,Debt Consolidation,Employed,False,"$25,000-49,999",3083.333333,10000,341.73,1
12,Completed,0.24369,3,Debt Consolidation,Employed,True,"$1-24,999",2066.666667,2500,227.49,60
36,Completed,0.23733,5,Debt Consolidation,Employed,True,"$100,000+",9166.666667,1500,55.71,72
36,Irrecoverable,0.24758,7,Other,Employed,False,"$25,000-49,999",2480.0,12500,470.87,227
60,Completed,0.10878,7,Other,Employed,False,"$50,000-74,999",4960.0,15000,309.12,122
36,Completed,0.2951,6,Debt Consolidation,Self-employed,False,"$25,000-49,999",2083.333333,4000,161.14,67
36,Completed,0.24246,7,Household Expenses,Other,True,"$50,000-74,999",4166.666667,5000,187.07,102
36,Completed,0.35643,4,Debt Consolidation,Employed,False,"$75,000-99,999",6541.666667,2500,108.87,23
12,Completed,0.22357,3,Debt Consolidation,Self-employed,True,"$25,000-49,999",3575.0,3500,311.94,36
36,Completed,0.35132,5,Debt Consolidation,Employed,False,"$25,000-49,999",3750.0,5500,237.99,11
36,Completed,0.06327,10,Business,Employed,True,"$75,000-99,999",7291.666667,8000,243.34,179
36,Completed,0.35797,4,Debt Consolidation,Employed,True,"$50,000-74,999",4836.0,4000,173.71,61
36,Irrecoverable,0.21223,8,Home Improvement,Full-time,True,"$100,000+",10416.666667,3000,109.97,150
36,Irrecoverable,0.35858,6,Other,Employed,True,"$1-24,999",1.833333,3000,131.0,18
36,Completed,0.41355,4,Other,Employed,True,"$100,000+",10500.0,1000,45.24,29
36,Completed,0.38723,4,Other,Other,True,"$25,000-49,999",2750.0,2000,90.47,57
36,Completed,0.35643,5,Debt Consolidation,Employed,True,"$100,000+",8750.0,7500,326.62,79
36,Completed,0.21434,8,Home Improvement,Employed,True,"$25,000-49,999",3000.0,10000,360.22,205
36,Completed,0.12309,8,Debt Consolidation,Full-time,True,"$75,000-99,999",6466.666667,7500,242.71,281
36,Completed,0.27467,4,Debt Consolidation,Full-time,True,"$75,000-99,999",7083.333333,10500,411.89,50
36,Completed,0.2924,5,Debt Consolidation,Employed,False,"$50,000-74,999",4500.0,5000,199.78,51
36,Completed,0.23121,9,Debt Consolidation,Employed,True,"$25,000-49,999",3775.0,3500,128.99,69
12,Completed,0.29167,3,Debt Consolidation,Employed,True,"$100,000+",11416.666667,4000,372.97,2
36,Completed,0.202,9,Debt Consolidation,Employed,False,"$100,000+",8333.333333,5000,180.74,101
12,Completed,0.06799,10,Debt Consolidation,Employed,True,"$100,000+",10000.0,2000,172.0,42
36,Irrecoverable,0.30532,5,Debt Consolidation,Employed,True,"$25,000-49,999",2083.333333,3000,122.46,20
36,Completed,0.25278,9,Debt Consolidation,Full-time,False,"$50,000-74,999",5166.666667,2500,94.48,102
36,Completed,0.07439,10,Debt Consolidation,Full-time,True,"$75,000-99,999",7216.666667,5000,154.61,190
36,Completed,0.27467,4,Other,Full-time,True,"$100,000+",10208.333333,2000,78.46,8
36,Irrecoverable,0.30532,8,Other,Employed,False,"$100,000+",10166.666667,7000,285.74,111
36,Completed,0.12427,8,Debt Consolidation,Employed,True,"$50,000-74,999",4333.333333,10000,320.98,180
36,Completed,0.35356,5,Debt Consolidation,Employed,True,"$25,000-49,999",2916.666667,4000,172.76,52
36,Irrecoverable,0.35797,4,Other,Employed,False,"$25,000-49,999",2539.333333,4000,173.71,68
36,Completed,0.38723,4,Home Improvement,Employed,True,"$50,000-74,999",5916.666667,2000,90.47,55
12,Completed,0.11066,8,Auto & Other Vehicles,Employed,False,"$25,000-49,999",3675.0,5000,433.44,112
36,Irrecoverable,0.11766,8,Debt Consolidation,Employed,False,"$25,000-49,999",3666.666667,23000,731.29,25
36,Irrecoverable,0.2325,9,Debt Consolidation,Full-time,False,"$25,000-49,999",3200.0,3000,113.03,119
36,Irrecoverable,0.35643,1,Debt Consolidation,Employed,True,"$25,000-49,999",3166.666667,3070,133.7,50
36,Irrecoverable,0.30532,6,Other,Employed,False,"$50,000-74,999",4166.666667,7000,285.74,73
36,Completed,0.08591,10,Business,Employed,True,"$100,000+",9333.333333,7500,235.89,247
36,Irrecoverable,0.35285,2,Other,Employed,True,"$25,000-49,999",2166.666667,3000,129.45,2
36,Completed,0.27467,4,Home Improvement,Employed,True,"$100,000+",9583.333333,2500,98.07,57
36,Irrecoverable,0.35643,4,Debt Consolidation,Employed,False,"$50,000-74,999",5000.0,4000,174.2,3
36,Completed,0.30532,6,Other,Employed,True,"$25,000-49,999",4000.0,5000,204.1,25
36,Irrecoverable,0.22362,6,Debt Consolidation,Employed,True,"$50,000-74,999",5641.666667,12000,439.81,102
12,Completed,0.06589,10,Debt Consolidation,Employed,True,"$100,000+",11536.0,5000,429.53,114
60,Completed,0.16519,7,Home Improvement,Full-time,True,"$100,000+",8750.0,25000,584.43,379
36,Completed,0.35797,3,Other,Employed,True,"$50,000-74,999",4416.666667,4000,173.71,78
36,Completed,0.25424,7,Debt Consolidation,Employed,True,"$75,000-99,999",6508.333333,7500,286.39,95
36,Completed,0.12427,8,Business,Employed,False,"$75,000-99,999",7500.0,14500,465.43,178
36,Completed,0.28777,7,Business,Full-time,False,"$1-24,999",1500.0,3500,141.86,114
36,Completed,0.12228,9,Other,Self-employed,False,"$1-24,999",1083.333333,2000,64.65,110
36,Completed,0.22362,6,Debt Consolidation,Employed,False,"$75,000-99,999",6250.0,5500,201.58,60
36,Completed,0.11651,9,Debt Consolidation,Employed,True,"$50,000-74,999",6000.0,15000,480.84,354
36,Completed,0.37453,5,Other,Full-time,False,"$50,000-74,999",4833.333333,3000,135.71,124
60,Completed,0.20436,7,Other,Employed,True,"$25,000-49,999",2583.333333,8000,207.48,189
36,Completed,0.124,8,Debt Consolidation,Full-time,False,"$25,000-49,999",2816.666667,7500,243.03,125
36,Completed,0.18316,7,Debt Consolidation,Employed,False,"$25,000-49,999",3000.0,7195,248.33,103
36,Completed,0.11296,9,Business,Full-time,False,"$25,000-49,999",2916.666667,3520,112.26,93
36,Completed,0.29588,6,Debt Consolidation,Full-time,False,"$100,000+",10416.666667,5000,172.22,165
36,Irrecoverable,0.35797,1,Debt Consolidation,Self-employed,False,"$50,000-74,999",4583.333333,4000,173.71,60
60,Irrecoverable,0.27554,7,Home Improvement,Employed,False,"$25,000-49,999",2314.583333,15000,440.09,31
36,Completed,0.12528,9,Other,Employed,True,"$100,000+",14166.666667,15000,482.18,210
36,Irrecoverable,0.11296,9,Debt Consolidation,Full-time,False,"$75,000-99,999",7083.333333,5950,189.76,183
36,Completed,0.35797,6,Business,Employed,False,"$75,000-99,999",7416.666667,3000,130.28,47
36,Completed,0.25227,6,Debt Consolidation,Full-time,True,"$75,000-99,999",6666.666667,15000,580.25,560
36,Completed,0.2021,9,Other,Full-time,False,"$100,000+",14224.0,3300,95.45,139
60,Completed,0.20436,8,Other,Employed,False,"$50,000-74,999",4166.666667,14500,376.06,318
36,Completed,0.29537,2,Debt Consolidation,Self-employed,True,"$75,000-99,999",7083.333333,4000,160.44,1
60,Completed,0.27554,7,Debt Consolidation,Employed,True,"$50,000-74,999",5916.666667,25000,733.49,6
60,Completed,0.17522,7,Medical/Dental,Employed,True,"$50,000-74,999",4166.666667,3500,83.61,3
36,Completed,0.29265,7,Debt Consolidation,Full-time,True,"$1-24,999",2000.0,7500,301.18,221
36,Completed,0.13068,9,Debt Consolidation,Employed,True,"$75,000-99,999",7600.333333,11000,359.87,274
36,Completed,0.33553,6,Debt Consolidation,Employed,False,"$25,000-49,999",4083.333333,4000,168.89,14
36,Completed,0.14857,9,Business,Employed,False,"$75,000-99,999",8083.333333,3500,116.3,42
36,Irrecoverable,0.22872,8,Business,Employed,False,"$25,000-49,999",3166.666667,4543,167.67,97
36,Irrecoverable,0.2685,6,Debt Consolidation,Full-time,True,"$50,000-74,999",5083.333333,15475,611.61,524
